scenario,year,month,period,arrivals_forecast,revenue_usd_mn,revenue_lkr_mn,tourist_nights_mn,rpt_adj,rpt_nominal,los_pred,mix_factor,usd_lkr_pred,usd_lkr_lower,usd_lkr_upper,rev_usd_hotels_mn,rev_usd_travel_agencies_mn,rev_usd_shops_mn,rev_usd_banks_mn,rev_usd_gem_corp_mn
Baseline,2030,8,2030-08,336252.65427770815,396.4918740069336,119702.73816883922,3.1922442285368855,1179.1486816918161,1301.9461298249912,9.493588193062823,0.905681621289752,301.90464424687286,250.0,402.95964413915283,230.87721823423743,42.3849813313412,48.966746439856294,58.16535791681716,16.05792089728081
Baseline,2030,9,2030-09,325557.11461764656,383.88024251678945,115895.22803477952,3.0907051795016893,1179.1486816918161,1301.9461298249912,9.493588193062823,0.905681621289752,301.9046442060917,250.0,414.24924146458125,223.53346521752653,41.03679792504479,47.409209950823495,56.31523157721301,15.547149821929974
Baseline,2030,10,2030-10,336349.7078945868,396.60631465132946,119737.28830175959,3.1931656156081787,1179.1486816918161,1301.9461298249912,9.493588193062823,0.905681621289752,301.9046441734667,250.0,403.86941485667694,230.94385702146917,42.39721503622712,48.980879859439185,58.18214635935003,16.062555743378844
Baseline,2030,11,2030-11,325857.51866988983,384.2344635589669,116002.16898992426,3.0935570918652147,1179.1486816918161,1301.9461298249912,9.493588193062823,0.905681621289752,301.90464414736675,250.0,403.47355633849713,223.73972813038645,41.074664154453565,47.45295624953241,56.36719580410045,15.56149577413816
Baseline,2030,12,2030-12,337823.9985509807,398.3447225352469,120262.12169666782,3.2071619239768627,1179.1486816918161,1301.9461298249912,9.493588193062823,0.905681621289752,301.90464412648674,250.0,405.2591892677679,231.95613193227427,42.58305083901789,49.19557323310299,58.437170795920714,16.1329612626775
Optimistic,2026,1,2026-01,220818.1006922801,301.6584560238497,91085.24092277071,1.9812045831799485,1366.0947860620547,1488.2483637772839,8.972111330406042,0.9179212417172128,301.94824346501775,288.2122954726167,315.2041018039042,175.65571894268768,32.24728894894953,37.25481931894544,44.25329549869875,12.217167468965913
Optimistic,2026,2,2026-02,199567.29439801534,272.6278403456398,82317.12022877243,1.7905399832469115,1366.0947860620547,1488.2483637772839,8.972111330406042,0.9179212417172128,301.93952358060756,282.15770080090414,319.8435607799963,158.7511914332661,29.143916132948895,33.66953828268652,39.99450417870536,11.041427533998412
Optimistic,2026,3,2026-03,220671.34970878428,301.4579802704465,91019.97599943684,1.9798879170181773,1366.0947860620547,1488.2483637772839,8.972111330406042,0.9179212417172128,301.93254767307945,279.6334685829506,326.3936421078634,175.53898191148102,32.225858090910734,37.230060563400144,44.223885705674505,12.209048200953085
Optimistic,2026,4,2026-04,213036.7877779222,291.028445022828,87869.33570106077,1.9113897774156032,1366.0947860620547,1488.2483637772839,8.972111330406042,0.9179212417172128,301.92696694705694,275.43675815313543,330.13104566238417,169.46586353679277,31.110940772940314,35.94201296031926,42.693872884848865,11.786652023424535
Optimistic,2026,5,2026-05,219819.63227825583,300.2944535294034,90665.65285629973,1.9722462134094287,1366.0947860620547,1488.2483637772839,8.972111330406042,0.9179212417172128,301.9225023662389,273.6927569716026,333.2277493581339,174.86146029017164,32.10147708229322,37.08636501088132,44.053196332763484,12.161925367940839
